Fold 3 | Epoch 000 | Train Loss: 1.5917 | Val Loss: 1.4735 | Val Acc: 0.4210 | Val F1: 0.2494 | LR: 0.001000
Fold 3 | Epoch 001 | Train Loss: 1.5030 | Val Loss: 1.4565 | Val Acc: 0.4210 | Val F1: 0.2494 | LR: 0.001000
Fold 3 | Epoch 002 | Train Loss: 1.5003 | Val Loss: 1.4948 | Val Acc: 0.3306 | Val F1: 0.1643 | LR: 0.001000
Fold 3 | Epoch 003 | Train Loss: 1.4926 | Val Loss: 1.4940 | Val Acc: 0.3306 | Val F1: 0.1643 | LR: 0.001000
Fold 3 | Epoch 004 | Train Loss: 1.4874 | Val Loss: 1.4036 | Val Acc: 0.4210 | Val F1: 0.2494 | LR: 0.001000
Fold 3 | Epoch 005 | Train Loss: 1.4300 | Val Loss: 1.3533 | Val Acc: 0.4565 | Val F1: 0.3088 | LR: 0.001000
Fold 3 | Epoch 006 | Train Loss: 1.3707 | Val Loss: 1.3201 | Val Acc: 0.4677 | Val F1: 0.3210 | LR: 0.001000
Fold 3 | Epoch 007 | Train Loss: 1.3531 | Val Loss: 1.3183 | Val Acc: 0.4677 | Val F1: 0.3210 | LR: 0.001000
Fold 3 | Epoch 008 | Train Loss: 1.3412 | Val Loss: 1.3485 | Val Acc: 0.4677 | Val F1: 0.3210 | LR: 0.001000
Fold 3 | Epoch 009 | Train Loss: 1.3365 | Val Loss: 1.3588 | Val Acc: 0.4677 | Val F1: 0.3210 | LR: 0.001000
Fold 3 | Epoch 010 | Train Loss: 1.3295 | Val Loss: 1.3333 | Val Acc: 0.4677 | Val F1: 0.3210 | LR: 0.001000
Fold 3 | Epoch 011 | Train Loss: 1.3332 | Val Loss: 1.3415 | Val Acc: 0.4677 | Val F1: 0.3210 | LR: 0.001000
Fold 3 | Epoch 012 | Train Loss: 1.3263 | Val Loss: 1.3261 | Val Acc: 0.4677 | Val F1: 0.3210 | LR: 0.001000
Fold 3 | Epoch 013 | Train Loss: 1.3246 | Val Loss: 1.3369 | Val Acc: 0.4839 | Val F1: 0.3987 | LR: 0.001000
Fold 3 | Epoch 014 | Train Loss: 1.3188 | Val Loss: 1.3396 | Val Acc: 0.4677 | Val F1: 0.3210 | LR: 0.001000
Fold 3 | Epoch 015 | Train Loss: 1.3172 | Val Loss: 1.3411 | Val Acc: 0.4677 | Val F1: 0.3210 | LR: 0.001000
Fold 3 | Epoch 016 | Train Loss: 1.3115 | Val Loss: 1.3497 | Val Acc: 0.4468 | Val F1: 0.3635 | LR: 0.001000
Fold 3 | Epoch 017 | Train Loss: 1.3099 | Val Loss: 1.3402 | Val Acc: 0.4677 | Val F1: 0.3210 | LR: 0.001000
Fold 3 | Epoch 018 | Train Loss: 1.3151 | Val Loss: 1.3581 | Val Acc: 0.4274 | Val F1: 0.3997 | LR: 0.001000
Fold 3 | Epoch 019 | Train Loss: 1.3119 | Val Loss: 1.3549 | Val Acc: 0.4677 | Val F1: 0.3210 | LR: 0.000800
Fold 3 | Epoch 020 | Train Loss: 1.3125 | Val Loss: 1.3526 | Val Acc: 0.4581 | Val F1: 0.4119 | LR: 0.000800
Fold 3 | Epoch 021 | Train Loss: 1.3037 | Val Loss: 1.3579 | Val Acc: 0.4742 | Val F1: 0.4155 | LR: 0.000800
Fold 3 | Epoch 022 | Train Loss: 1.3056 | Val Loss: 1.3637 | Val Acc: 0.4145 | Val F1: 0.3822 | LR: 0.000800
Fold 3 | Epoch 023 | Train Loss: 1.3145 | Val Loss: 1.3598 | Val Acc: 0.4710 | Val F1: 0.4115 | LR: 0.000800
Fold 3 | Epoch 024 | Train Loss: 1.3098 | Val Loss: 1.3584 | Val Acc: 0.4419 | Val F1: 0.4014 | LR: 0.000800
Fold 3 | Epoch 025 | Train Loss: 1.3163 | Val Loss: 1.3658 | Val Acc: 0.4710 | Val F1: 0.3493 | LR: 0.000800
