Fold 4 | Epoch 000 | Train Loss: 1.5755 | Val Loss: 1.4722 | Val Acc: 0.3467 | Val F1: 0.1785 | LR: 0.001000
Fold 4 | Epoch 001 | Train Loss: 1.4684 | Val Loss: 1.3954 | Val Acc: 0.3997 | Val F1: 0.2595 | LR: 0.001000
Fold 4 | Epoch 002 | Train Loss: 1.3971 | Val Loss: 1.3220 | Val Acc: 0.4157 | Val F1: 0.2814 | LR: 0.001000
Fold 4 | Epoch 003 | Train Loss: 1.3608 | Val Loss: 1.2972 | Val Acc: 0.4398 | Val F1: 0.3987 | LR: 0.001000
Fold 4 | Epoch 004 | Train Loss: 1.3398 | Val Loss: 1.2994 | Val Acc: 0.4494 | Val F1: 0.3066 | LR: 0.001000
Fold 4 | Epoch 005 | Train Loss: 1.3275 | Val Loss: 1.2916 | Val Acc: 0.4510 | Val F1: 0.3160 | LR: 0.001000
Fold 4 | Epoch 006 | Train Loss: 1.3254 | Val Loss: 1.2880 | Val Acc: 0.4494 | Val F1: 0.3066 | LR: 0.001000
Fold 4 | Epoch 007 | Train Loss: 1.3345 | Val Loss: 1.2984 | Val Acc: 0.4350 | Val F1: 0.3211 | LR: 0.001000
Fold 4 | Epoch 008 | Train Loss: 1.3168 | Val Loss: 1.2940 | Val Acc: 0.4414 | Val F1: 0.3114 | LR: 0.001000
Fold 4 | Epoch 009 | Train Loss: 1.3302 | Val Loss: 1.2965 | Val Acc: 0.4446 | Val F1: 0.3936 | LR: 0.001000
Fold 4 | Epoch 010 | Train Loss: 1.3320 | Val Loss: 1.2890 | Val Acc: 0.4366 | Val F1: 0.4071 | LR: 0.001000
Fold 4 | Epoch 011 | Train Loss: 1.3173 | Val Loss: 1.3031 | Val Acc: 0.4109 | Val F1: 0.3296 | LR: 0.001000
Fold 4 | Epoch 012 | Train Loss: 1.3079 | Val Loss: 1.2843 | Val Acc: 0.4510 | Val F1: 0.3080 | LR: 0.001000
Fold 4 | Epoch 013 | Train Loss: 1.3120 | Val Loss: 1.2984 | Val Acc: 0.4398 | Val F1: 0.3997 | LR: 0.001000
