Fold 2 | Epoch 000 | Train Loss: 1.5569 | Val Loss: 1.4341 | Val Acc: 0.3596 | Val F1: 0.2033 | LR: 0.001000
Fold 2 | Epoch 001 | Train Loss: 1.4886 | Val Loss: 1.4091 | Val Acc: 0.3933 | Val F1: 0.2220 | LR: 0.001000
Fold 2 | Epoch 002 | Train Loss: 1.4297 | Val Loss: 1.3614 | Val Acc: 0.4318 | Val F1: 0.2834 | LR: 0.001000
Fold 2 | Epoch 003 | Train Loss: 1.3805 | Val Loss: 1.3549 | Val Acc: 0.4318 | Val F1: 0.2834 | LR: 0.001000
Fold 2 | Epoch 004 | Train Loss: 1.3672 | Val Loss: 1.3370 | Val Acc: 0.4318 | Val F1: 0.2834 | LR: 0.001000
Fold 2 | Epoch 005 | Train Loss: 1.3495 | Val Loss: 1.3394 | Val Acc: 0.4173 | Val F1: 0.3115 | LR: 0.001000
Fold 2 | Epoch 006 | Train Loss: 1.3435 | Val Loss: 1.3278 | Val Acc: 0.4157 | Val F1: 0.3717 | LR: 0.001000
Fold 2 | Epoch 007 | Train Loss: 1.3317 | Val Loss: 1.3447 | Val Acc: 0.4382 | Val F1: 0.3525 | LR: 0.001000
Fold 2 | Epoch 008 | Train Loss: 1.3302 | Val Loss: 1.3224 | Val Acc: 0.4318 | Val F1: 0.2834 | LR: 0.001000
Fold 2 | Epoch 009 | Train Loss: 1.3327 | Val Loss: 1.3748 | Val Acc: 0.4173 | Val F1: 0.3768 | LR: 0.001000
Fold 2 | Epoch 010 | Train Loss: 1.3340 | Val Loss: 1.3340 | Val Acc: 0.4238 | Val F1: 0.3297 | LR: 0.001000
Fold 2 | Epoch 011 | Train Loss: 1.3304 | Val Loss: 1.3300 | Val Acc: 0.4318 | Val F1: 0.2834 | LR: 0.001000
Fold 2 | Epoch 012 | Train Loss: 1.3263 | Val Loss: 1.3216 | Val Acc: 0.4366 | Val F1: 0.4031 | LR: 0.001000
Fold 2 | Epoch 013 | Train Loss: 1.3339 | Val Loss: 1.3430 | Val Acc: 0.4318 | Val F1: 0.2834 | LR: 0.001000
Fold 2 | Epoch 014 | Train Loss: 1.3260 | Val Loss: 1.3180 | Val Acc: 0.4350 | Val F1: 0.2930 | LR: 0.001000
Fold 2 | Epoch 015 | Train Loss: 1.3133 | Val Loss: 1.3252 | Val Acc: 0.4318 | Val F1: 0.2834 | LR: 0.001000
Fold 2 | Epoch 016 | Train Loss: 1.3207 | Val Loss: 1.3268 | Val Acc: 0.4334 | Val F1: 0.3839 | LR: 0.001000
