Fold 2 | Epoch 000 | Train Loss: 1.5524 | Val Loss: 1.5173 | Val Acc: 0.3884 | Val F1: 0.2242 | LR: 0.000500
Fold 2 | Epoch 001 | Train Loss: 1.5026 | Val Loss: 1.4936 | Val Acc: 0.3900 | Val F1: 0.2943 | LR: 0.000500
Fold 2 | Epoch 002 | Train Loss: 1.4958 | Val Loss: 1.4316 | Val Acc: 0.3933 | Val F1: 0.2220 | LR: 0.000500
Fold 2 | Epoch 003 | Train Loss: 1.4494 | Val Loss: 1.3922 | Val Acc: 0.4254 | Val F1: 0.3954 | LR: 0.000500
Fold 2 | Epoch 004 | Train Loss: 1.4002 | Val Loss: 1.4043 | Val Acc: 0.4238 | Val F1: 0.3761 | LR: 0.000500
Fold 2 | Epoch 005 | Train Loss: 1.3695 | Val Loss: 1.3515 | Val Acc: 0.4109 | Val F1: 0.3356 | LR: 0.000500
Fold 2 | Epoch 006 | Train Loss: 1.3759 | Val Loss: 1.3483 | Val Acc: 0.4173 | Val F1: 0.3135 | LR: 0.000500
Fold 2 | Epoch 007 | Train Loss: 1.3609 | Val Loss: 1.3485 | Val Acc: 0.4398 | Val F1: 0.3751 | LR: 0.000500
Fold 2 | Epoch 008 | Train Loss: 1.3549 | Val Loss: 1.3394 | Val Acc: 0.4318 | Val F1: 0.2834 | LR: 0.000500
Fold 2 | Epoch 009 | Train Loss: 1.3418 | Val Loss: 1.3364 | Val Acc: 0.4077 | Val F1: 0.3578 | LR: 0.000500
Fold 2 | Epoch 010 | Train Loss: 1.3356 | Val Loss: 1.3498 | Val Acc: 0.4318 | Val F1: 0.2834 | LR: 0.000500
Fold 2 | Epoch 011 | Train Loss: 1.3285 | Val Loss: 1.3523 | Val Acc: 0.4414 | Val F1: 0.3973 | LR: 0.000500
Fold 2 | Epoch 012 | Train Loss: 1.3430 | Val Loss: 1.3496 | Val Acc: 0.4318 | Val F1: 0.2834 | LR: 0.000500
Fold 2 | Epoch 013 | Train Loss: 1.3319 | Val Loss: 1.3356 | Val Acc: 0.4318 | Val F1: 0.2834 | LR: 0.000500
Fold 2 | Epoch 014 | Train Loss: 1.3234 | Val Loss: 1.3383 | Val Acc: 0.4318 | Val F1: 0.2834 | LR: 0.000500
Fold 2 | Epoch 015 | Train Loss: 1.3278 | Val Loss: 1.3850 | Val Acc: 0.4382 | Val F1: 0.4072 | LR: 0.000500
Fold 2 | Epoch 016 | Train Loss: 1.3336 | Val Loss: 1.3587 | Val Acc: 0.4318 | Val F1: 0.2834 | LR: 0.000500
Fold 2 | Epoch 017 | Train Loss: 1.3243 | Val Loss: 1.3332 | Val Acc: 0.4382 | Val F1: 0.3685 | LR: 0.000500
Fold 2 | Epoch 018 | Train Loss: 1.3227 | Val Loss: 1.3392 | Val Acc: 0.4366 | Val F1: 0.3288 | LR: 0.000500
Fold 2 | Epoch 019 | Train Loss: 1.3167 | Val Loss: 1.3286 | Val Acc: 0.4366 | Val F1: 0.3383 | LR: 0.000400
Fold 2 | Epoch 020 | Train Loss: 1.3192 | Val Loss: 1.3359 | Val Acc: 0.4334 | Val F1: 0.2949 | LR: 0.000400
Fold 2 | Epoch 021 | Train Loss: 1.3250 | Val Loss: 1.3580 | Val Acc: 0.4302 | Val F1: 0.3979 | LR: 0.000400
