epoch,train_loss,val_loss,val_acc,val_f1
0,1.5690177229867466,1.4803603251775106,0.41113490364025695,0.41113490364025695
1,1.5323680207349253,1.528380560874939,0.41113490364025695,0.41113490364025695
2,1.4877604721249014,1.4229172150293985,0.39186295503211993,0.39186295503211993
3,1.4647692701090937,1.4103031953175862,0.35974304068522484,0.35974304068522484
4,1.4571394972179248,1.4371381918589274,0.41755888650963596,0.41755888650963596
5,1.3797084421351336,1.3646764834721883,0.41541755888650966,0.41541755888650966
6,1.3597104825835298,1.2371942798296611,0.4539614561027837,0.4539614561027837
7,1.3472900848457778,1.3038036425908406,0.44539614561027835,0.44539614561027835
8,1.3496342897415161,1.2602175275484722,0.4582441113490364,0.4582441113490364
9,1.3266325428865957,1.2675787210464478,0.4668094218415418,0.4668094218415418
10,1.3241312676581785,1.2972091754277548,0.43897216274089934,0.43897216274089934
11,1.3228964218194934,1.2785664478937784,0.4817987152034261,0.4817987152034261
12,1.3226122337838877,1.2846197326978048,0.44539614561027835,0.44539614561027835
13,1.3071017610853997,1.2509053230285645,0.44325481798715205,0.44325481798715205
14,1.3111439096754876,1.2505149086316427,0.4475374732334047,0.4475374732334047
15,1.313341586486153,1.2806148131688435,0.4411134903640257,0.4411134903640257
16,1.3382992632147195,1.2437744696935018,0.44539614561027835,0.44539614561027835
17,1.3011374223059502,1.264652411142985,0.44539614561027835,0.44539614561027835
18,1.2858468749816867,1.2596620003382364,0.4582441113490364,0.4582441113490364
19,1.3349295396735703,1.2758057991663614,0.4625267665952891,0.4625267665952891
20,1.309020313663759,1.260223344961802,0.4796573875802998,0.4796573875802998
21,1.2923717395119045,1.2393159747123719,0.44325481798715205,0.44325481798715205
22,1.2817994511645774,1.2272504289944968,0.44539614561027835,0.44539614561027835
23,1.3043563495511594,1.2581502676010132,0.44967880085653106,0.44967880085653106
24,1.2832072973251343,1.2772162199020385,0.4668094218415418,0.4668094218415418
25,1.2736281666202822,1.2374931732813517,0.46466809421841543,0.46466809421841543
26,1.2739745724028435,1.2400192896525064,0.4668094218415418,0.4668094218415418
27,1.2946137829103332,1.254374345143636,0.44325481798715205,0.44325481798715205
28,1.2526270272032822,1.2430169105529785,0.4796573875802998,0.4796573875802998
29,1.2793407301971877,1.2507259488105773,0.4411134903640257,0.4411134903640257
30,1.2712893321894216,1.2569236437479654,0.4689507494646681,0.4689507494646681
31,1.264202526514081,1.2408973177274067,0.47109207708779444,0.47109207708779444
