Fold 1 | Epoch 000 | Train Loss: 1.6020 | Val Loss: 1.5295 | Val Acc: 0.3601 | Val F1: 0.2926 | LR: 0.000500
Fold 1 | Epoch 001 | Train Loss: 1.4999 | Val Loss: 1.4962 | Val Acc: 0.3344 | Val F1: 0.1676 | LR: 0.000500
Fold 1 | Epoch 002 | Train Loss: 1.4461 | Val Loss: 1.4441 | Val Acc: 0.3939 | Val F1: 0.2554 | LR: 0.000500
Fold 1 | Epoch 003 | Train Loss: 1.3919 | Val Loss: 1.3828 | Val Acc: 0.4389 | Val F1: 0.3337 | LR: 0.000500
Fold 1 | Epoch 004 | Train Loss: 1.3566 | Val Loss: 1.3722 | Val Acc: 0.3939 | Val F1: 0.2554 | LR: 0.000500
Fold 1 | Epoch 005 | Train Loss: 1.3589 | Val Loss: 1.3767 | Val Acc: 0.3939 | Val F1: 0.2554 | LR: 0.000500
Fold 1 | Epoch 006 | Train Loss: 1.3548 | Val Loss: 1.3555 | Val Acc: 0.3939 | Val F1: 0.2554 | LR: 0.000500
Fold 1 | Epoch 007 | Train Loss: 1.3514 | Val Loss: 1.3572 | Val Acc: 0.3939 | Val F1: 0.2554 | LR: 0.000500
Fold 1 | Epoch 008 | Train Loss: 1.3474 | Val Loss: 1.3526 | Val Acc: 0.4260 | Val F1: 0.3887 | LR: 0.000500
Fold 1 | Epoch 009 | Train Loss: 1.3313 | Val Loss: 1.3520 | Val Acc: 0.4309 | Val F1: 0.4008 | LR: 0.000500
Fold 1 | Epoch 010 | Train Loss: 1.3316 | Val Loss: 1.3468 | Val Acc: 0.4148 | Val F1: 0.3345 | LR: 0.000500
Fold 1 | Epoch 011 | Train Loss: 1.3365 | Val Loss: 1.3572 | Val Acc: 0.3939 | Val F1: 0.2554 | LR: 0.000500
Fold 1 | Epoch 012 | Train Loss: 1.3303 | Val Loss: 1.3524 | Val Acc: 0.4309 | Val F1: 0.3856 | LR: 0.000500
Fold 1 | Epoch 013 | Train Loss: 1.3194 | Val Loss: 1.3409 | Val Acc: 0.3939 | Val F1: 0.2554 | LR: 0.000500
