Fold 4 | Epoch 000 | Train Loss: 1.5519 | Val Loss: 1.5122 | Val Acc: 0.3884 | Val F1: 0.2176 | LR: 0.001000
Fold 4 | Epoch 001 | Train Loss: 1.4920 | Val Loss: 1.4473 | Val Acc: 0.3467 | Val F1: 0.1785 | LR: 0.001000
Fold 4 | Epoch 002 | Train Loss: 1.4597 | Val Loss: 1.3761 | Val Acc: 0.4414 | Val F1: 0.2980 | LR: 0.001000
Fold 4 | Epoch 003 | Train Loss: 1.4023 | Val Loss: 1.3134 | Val Acc: 0.4157 | Val F1: 0.2966 | LR: 0.001000
Fold 4 | Epoch 004 | Train Loss: 1.3555 | Val Loss: 1.3158 | Val Acc: 0.4494 | Val F1: 0.3066 | LR: 0.001000
Fold 4 | Epoch 005 | Train Loss: 1.3357 | Val Loss: 1.2847 | Val Acc: 0.4286 | Val F1: 0.3999 | LR: 0.001000
Fold 4 | Epoch 006 | Train Loss: 1.3299 | Val Loss: 1.2793 | Val Acc: 0.4446 | Val F1: 0.3685 | LR: 0.001000
Fold 4 | Epoch 007 | Train Loss: 1.3221 | Val Loss: 1.2890 | Val Acc: 0.4125 | Val F1: 0.3086 | LR: 0.001000
Fold 4 | Epoch 008 | Train Loss: 1.3138 | Val Loss: 1.2781 | Val Acc: 0.4302 | Val F1: 0.3962 | LR: 0.001000
Fold 4 | Epoch 009 | Train Loss: 1.3163 | Val Loss: 1.3106 | Val Acc: 0.4286 | Val F1: 0.3980 | LR: 0.001000
Fold 4 | Epoch 010 | Train Loss: 1.3193 | Val Loss: 1.2874 | Val Acc: 0.4366 | Val F1: 0.4092 | LR: 0.001000
Fold 4 | Epoch 011 | Train Loss: 1.3123 | Val Loss: 1.2766 | Val Acc: 0.4575 | Val F1: 0.3606 | LR: 0.001000
Fold 4 | Epoch 012 | Train Loss: 1.3106 | Val Loss: 1.2775 | Val Acc: 0.4366 | Val F1: 0.3957 | LR: 0.001000
Fold 4 | Epoch 013 | Train Loss: 1.3092 | Val Loss: 1.2744 | Val Acc: 0.4141 | Val F1: 0.3853 | LR: 0.001000
Fold 4 | Epoch 014 | Train Loss: 1.3049 | Val Loss: 1.2812 | Val Acc: 0.4254 | Val F1: 0.3811 | LR: 0.001000
Fold 4 | Epoch 015 | Train Loss: 1.2940 | Val Loss: 1.2851 | Val Acc: 0.4222 | Val F1: 0.3674 | LR: 0.001000
Fold 4 | Epoch 016 | Train Loss: 1.2982 | Val Loss: 1.2794 | Val Acc: 0.4398 | Val F1: 0.4110 | LR: 0.001000
Fold 4 | Epoch 017 | Train Loss: 1.3008 | Val Loss: 1.3183 | Val Acc: 0.4318 | Val F1: 0.3939 | LR: 0.001000
Fold 4 | Epoch 018 | Train Loss: 1.3047 | Val Loss: 1.2938 | Val Acc: 0.4205 | Val F1: 0.3936 | LR: 0.001000
Fold 4 | Epoch 019 | Train Loss: 1.2911 | Val Loss: 1.2803 | Val Acc: 0.4366 | Val F1: 0.4092 | LR: 0.000800
Fold 4 | Epoch 020 | Train Loss: 1.2868 | Val Loss: 1.2874 | Val Acc: 0.4366 | Val F1: 0.4092 | LR: 0.000800
Fold 4 | Epoch 021 | Train Loss: 1.2921 | Val Loss: 1.2821 | Val Acc: 0.4382 | Val F1: 0.4107 | LR: 0.000800
Fold 4 | Epoch 022 | Train Loss: 1.2942 | Val Loss: 1.2822 | Val Acc: 0.4446 | Val F1: 0.4162 | LR: 0.000800
Fold 4 | Epoch 023 | Train Loss: 1.2876 | Val Loss: 1.2813 | Val Acc: 0.4462 | Val F1: 0.3908 | LR: 0.000800
Fold 4 | Epoch 024 | Train Loss: 1.2841 | Val Loss: 1.2844 | Val Acc: 0.4270 | Val F1: 0.3903 | LR: 0.000800
Fold 4 | Epoch 025 | Train Loss: 1.2871 | Val Loss: 1.2949 | Val Acc: 0.4254 | Val F1: 0.3986 | LR: 0.000800
Fold 4 | Epoch 026 | Train Loss: 1.2838 | Val Loss: 1.2900 | Val Acc: 0.4350 | Val F1: 0.4073 | LR: 0.000800
Fold 4 | Epoch 027 | Train Loss: 1.2784 | Val Loss: 1.2819 | Val Acc: 0.4334 | Val F1: 0.4062 | LR: 0.000800
Fold 4 | Epoch 028 | Train Loss: 1.2837 | Val Loss: 1.2925 | Val Acc: 0.4141 | Val F1: 0.3838 | LR: 0.000800
Fold 4 | Epoch 029 | Train Loss: 1.2787 | Val Loss: 1.2907 | Val Acc: 0.4430 | Val F1: 0.4149 | LR: 0.000800
Fold 4 | Epoch 030 | Train Loss: 1.2891 | Val Loss: 1.2954 | Val Acc: 0.4141 | Val F1: 0.3835 | LR: 0.000800
Fold 4 | Epoch 031 | Train Loss: 1.2866 | Val Loss: 1.2923 | Val Acc: 0.4254 | Val F1: 0.3976 | LR: 0.000800
