Fold 0 | Epoch 000 | Train Loss: 1.5365 | Val Loss: 1.4367 | Val Acc: 0.3702 | Val F1: 0.2000 | LR: 0.001000
Fold 0 | Epoch 001 | Train Loss: 1.4466 | Val Loss: 1.4307 | Val Acc: 0.3702 | Val F1: 0.2000 | LR: 0.001000
Fold 0 | Epoch 002 | Train Loss: 1.4549 | Val Loss: 1.4080 | Val Acc: 0.3702 | Val F1: 0.2000 | LR: 0.001000
Fold 0 | Epoch 003 | Train Loss: 1.3867 | Val Loss: 1.3299 | Val Acc: 0.4359 | Val F1: 0.2921 | LR: 0.001000
Fold 0 | Epoch 004 | Train Loss: 1.3677 | Val Loss: 1.3051 | Val Acc: 0.4359 | Val F1: 0.2921 | LR: 0.001000
Fold 0 | Epoch 005 | Train Loss: 1.3414 | Val Loss: 1.2631 | Val Acc: 0.4503 | Val F1: 0.4029 | LR: 0.001000
Fold 0 | Epoch 006 | Train Loss: 1.3205 | Val Loss: 1.2723 | Val Acc: 0.4359 | Val F1: 0.2921 | LR: 0.001000
Fold 0 | Epoch 007 | Train Loss: 1.3163 | Val Loss: 1.2675 | Val Acc: 0.4535 | Val F1: 0.3679 | LR: 0.001000
Fold 0 | Epoch 008 | Train Loss: 1.3158 | Val Loss: 1.2643 | Val Acc: 0.4359 | Val F1: 0.2921 | LR: 0.001000
Fold 0 | Epoch 009 | Train Loss: 1.2882 | Val Loss: 1.3059 | Val Acc: 0.4359 | Val F1: 0.2921 | LR: 0.001000
Fold 0 | Epoch 010 | Train Loss: 1.2970 | Val Loss: 1.2752 | Val Acc: 0.4311 | Val F1: 0.4066 | LR: 0.001000
Fold 0 | Epoch 011 | Train Loss: 1.2854 | Val Loss: 1.2568 | Val Acc: 0.4439 | Val F1: 0.4131 | LR: 0.001000
Fold 0 | Epoch 012 | Train Loss: 1.3111 | Val Loss: 1.2794 | Val Acc: 0.4359 | Val F1: 0.2921 | LR: 0.001000
Fold 0 | Epoch 013 | Train Loss: 1.2899 | Val Loss: 1.2626 | Val Acc: 0.4263 | Val F1: 0.3240 | LR: 0.001000
Fold 0 | Epoch 014 | Train Loss: 1.2750 | Val Loss: 1.2789 | Val Acc: 0.4279 | Val F1: 0.3320 | LR: 0.001000
Fold 0 | Epoch 015 | Train Loss: 1.2640 | Val Loss: 1.2605 | Val Acc: 0.4231 | Val F1: 0.3945 | LR: 0.001000
Fold 0 | Epoch 016 | Train Loss: 1.2649 | Val Loss: 1.2619 | Val Acc: 0.4215 | Val F1: 0.3371 | LR: 0.001000
Fold 0 | Epoch 017 | Train Loss: 1.2683 | Val Loss: 1.2874 | Val Acc: 0.4279 | Val F1: 0.3672 | LR: 0.001000
Fold 0 | Epoch 018 | Train Loss: 1.2550 | Val Loss: 1.2640 | Val Acc: 0.4119 | Val F1: 0.3743 | LR: 0.001000
Fold 0 | Epoch 019 | Train Loss: 1.2858 | Val Loss: 1.2939 | Val Acc: 0.4295 | Val F1: 0.3986 | LR: 0.000800
Fold 0 | Epoch 020 | Train Loss: 1.2464 | Val Loss: 1.2611 | Val Acc: 0.4455 | Val F1: 0.4042 | LR: 0.000800
Fold 0 | Epoch 021 | Train Loss: 1.2282 | Val Loss: 1.2704 | Val Acc: 0.3942 | Val F1: 0.3702 | LR: 0.000800
Fold 0 | Epoch 022 | Train Loss: 1.2347 | Val Loss: 1.2500 | Val Acc: 0.4183 | Val F1: 0.3945 | LR: 0.000800
Fold 0 | Epoch 023 | Train Loss: 1.2395 | Val Loss: 1.2604 | Val Acc: 0.4231 | Val F1: 0.3940 | LR: 0.000800
Fold 0 | Epoch 024 | Train Loss: 1.2231 | Val Loss: 1.2828 | Val Acc: 0.4471 | Val F1: 0.3866 | LR: 0.000800
Fold 0 | Epoch 025 | Train Loss: 1.2427 | Val Loss: 1.2497 | Val Acc: 0.4263 | Val F1: 0.4023 | LR: 0.000800
Fold 0 | Epoch 026 | Train Loss: 1.2250 | Val Loss: 1.2490 | Val Acc: 0.4151 | Val F1: 0.3916 | LR: 0.000800
Fold 0 | Epoch 027 | Train Loss: 1.2125 | Val Loss: 1.2476 | Val Acc: 0.4359 | Val F1: 0.3909 | LR: 0.000800
