Fold 4 | Epoch 000 | Train Loss: 1.6814 | Val Loss: 1.4916 | Val Acc: 0.3884 | Val F1: 0.2173 | LR: 0.000500
Fold 4 | Epoch 001 | Train Loss: 1.5148 | Val Loss: 1.4731 | Val Acc: 0.3884 | Val F1: 0.2173 | LR: 0.000500
Fold 4 | Epoch 002 | Train Loss: 1.5021 | Val Loss: 1.4620 | Val Acc: 0.3884 | Val F1: 0.2173 | LR: 0.000500
Fold 4 | Epoch 003 | Train Loss: 1.4708 | Val Loss: 1.4428 | Val Acc: 0.3884 | Val F1: 0.2173 | LR: 0.000500
Fold 4 | Epoch 004 | Train Loss: 1.4695 | Val Loss: 1.4286 | Val Acc: 0.3740 | Val F1: 0.2983 | LR: 0.000500
Fold 4 | Epoch 005 | Train Loss: 1.4433 | Val Loss: 1.4142 | Val Acc: 0.3483 | Val F1: 0.1893 | LR: 0.000500
Fold 4 | Epoch 006 | Train Loss: 1.4466 | Val Loss: 1.3758 | Val Acc: 0.4270 | Val F1: 0.3987 | LR: 0.000500
Fold 4 | Epoch 007 | Train Loss: 1.3970 | Val Loss: 1.3644 | Val Acc: 0.4109 | Val F1: 0.2711 | LR: 0.000500
Fold 4 | Epoch 008 | Train Loss: 1.3828 | Val Loss: 1.3380 | Val Acc: 0.4125 | Val F1: 0.3086 | LR: 0.000500
Fold 4 | Epoch 009 | Train Loss: 1.3636 | Val Loss: 1.3145 | Val Acc: 0.4318 | Val F1: 0.3888 | LR: 0.000500
Fold 4 | Epoch 010 | Train Loss: 1.3575 | Val Loss: 1.3238 | Val Acc: 0.4446 | Val F1: 0.3133 | LR: 0.000500
Fold 4 | Epoch 011 | Train Loss: 1.3293 | Val Loss: 1.3052 | Val Acc: 0.4205 | Val F1: 0.3943 | LR: 0.000500
Fold 4 | Epoch 012 | Train Loss: 1.3258 | Val Loss: 1.3047 | Val Acc: 0.4334 | Val F1: 0.4004 | LR: 0.000500
Fold 4 | Epoch 013 | Train Loss: 1.3368 | Val Loss: 1.2989 | Val Acc: 0.4238 | Val F1: 0.3974 | LR: 0.000500
Fold 4 | Epoch 014 | Train Loss: 1.3126 | Val Loss: 1.2969 | Val Acc: 0.4462 | Val F1: 0.3448 | LR: 0.000500
Fold 4 | Epoch 015 | Train Loss: 1.3201 | Val Loss: 1.2991 | Val Acc: 0.4077 | Val F1: 0.3527 | LR: 0.000500
Fold 4 | Epoch 016 | Train Loss: 1.3289 | Val Loss: 1.3034 | Val Acc: 0.4061 | Val F1: 0.3125 | LR: 0.000500
Fold 4 | Epoch 017 | Train Loss: 1.3215 | Val Loss: 1.3018 | Val Acc: 0.4189 | Val F1: 0.3768 | LR: 0.000500
Fold 4 | Epoch 018 | Train Loss: 1.3153 | Val Loss: 1.2970 | Val Acc: 0.4350 | Val F1: 0.4031 | LR: 0.000500
Fold 4 | Epoch 019 | Train Loss: 1.3345 | Val Loss: 1.2960 | Val Acc: 0.4462 | Val F1: 0.3780 | LR: 0.000400
Fold 4 | Epoch 020 | Train Loss: 1.3033 | Val Loss: 1.2948 | Val Acc: 0.4254 | Val F1: 0.3823 | LR: 0.000400
Fold 4 | Epoch 021 | Train Loss: 1.3041 | Val Loss: 1.2915 | Val Acc: 0.4430 | Val F1: 0.3657 | LR: 0.000400
Fold 4 | Epoch 022 | Train Loss: 1.3223 | Val Loss: 1.2977 | Val Acc: 0.4254 | Val F1: 0.3939 | LR: 0.000400
Fold 4 | Epoch 023 | Train Loss: 1.3110 | Val Loss: 1.2918 | Val Acc: 0.4430 | Val F1: 0.4140 | LR: 0.000400
Fold 4 | Epoch 024 | Train Loss: 1.2868 | Val Loss: 1.2962 | Val Acc: 0.4382 | Val F1: 0.4096 | LR: 0.000400
Fold 4 | Epoch 025 | Train Loss: 1.2955 | Val Loss: 1.2965 | Val Acc: 0.4141 | Val F1: 0.3597 | LR: 0.000400
Fold 4 | Epoch 026 | Train Loss: 1.3008 | Val Loss: 1.2879 | Val Acc: 0.4350 | Val F1: 0.4072 | LR: 0.000400
Fold 4 | Epoch 027 | Train Loss: 1.3040 | Val Loss: 1.2886 | Val Acc: 0.4366 | Val F1: 0.4091 | LR: 0.000400
Fold 4 | Epoch 028 | Train Loss: 1.3061 | Val Loss: 1.2959 | Val Acc: 0.4254 | Val F1: 0.3762 | LR: 0.000400
Fold 4 | Epoch 029 | Train Loss: 1.3084 | Val Loss: 1.2909 | Val Acc: 0.4350 | Val F1: 0.4073 | LR: 0.000400
Fold 4 | Epoch 030 | Train Loss: 1.3120 | Val Loss: 1.2869 | Val Acc: 0.4238 | Val F1: 0.3935 | LR: 0.000400
Fold 4 | Epoch 031 | Train Loss: 1.2977 | Val Loss: 1.2907 | Val Acc: 0.4222 | Val F1: 0.3927 | LR: 0.000400
Fold 4 | Epoch 032 | Train Loss: 1.3039 | Val Loss: 1.2931 | Val Acc: 0.4334 | Val F1: 0.4060 | LR: 0.000400
Fold 4 | Epoch 033 | Train Loss: 1.2981 | Val Loss: 1.2846 | Val Acc: 0.4302 | Val F1: 0.3915 | LR: 0.000400
Fold 4 | Epoch 034 | Train Loss: 1.2887 | Val Loss: 1.2897 | Val Acc: 0.4366 | Val F1: 0.4089 | LR: 0.000400
