Fold 0 | Epoch 000 | Train Loss: 1.5797 | Val Loss: 1.4387 | Val Acc: 0.3734 | Val F1: 0.2030 | LR: 0.001000
Fold 0 | Epoch 001 | Train Loss: 1.4708 | Val Loss: 1.4470 | Val Acc: 0.3702 | Val F1: 0.2000 | LR: 0.001000
Fold 0 | Epoch 002 | Train Loss: 1.4729 | Val Loss: 1.4073 | Val Acc: 0.3702 | Val F1: 0.2000 | LR: 0.001000
Fold 0 | Epoch 003 | Train Loss: 1.4525 | Val Loss: 1.4190 | Val Acc: 0.3702 | Val F1: 0.2000 | LR: 0.001000
Fold 0 | Epoch 004 | Train Loss: 1.4017 | Val Loss: 1.3395 | Val Acc: 0.4359 | Val F1: 0.2921 | LR: 0.001000
Fold 0 | Epoch 005 | Train Loss: 1.3631 | Val Loss: 1.3243 | Val Acc: 0.4311 | Val F1: 0.2875 | LR: 0.001000
Fold 0 | Epoch 006 | Train Loss: 1.3479 | Val Loss: 1.2792 | Val Acc: 0.4359 | Val F1: 0.2921 | LR: 0.001000
Fold 0 | Epoch 007 | Train Loss: 1.3375 | Val Loss: 1.2821 | Val Acc: 0.4327 | Val F1: 0.2888 | LR: 0.001000
Fold 0 | Epoch 008 | Train Loss: 1.3323 | Val Loss: 1.3016 | Val Acc: 0.4359 | Val F1: 0.2921 | LR: 0.001000
Fold 0 | Epoch 009 | Train Loss: 1.3261 | Val Loss: 1.2684 | Val Acc: 0.4359 | Val F1: 0.2921 | LR: 0.001000
Fold 0 | Epoch 010 | Train Loss: 1.3009 | Val Loss: 1.2550 | Val Acc: 0.4359 | Val F1: 0.2921 | LR: 0.001000
Fold 0 | Epoch 011 | Train Loss: 1.2880 | Val Loss: 1.2602 | Val Acc: 0.4615 | Val F1: 0.4317 | LR: 0.001000
Fold 0 | Epoch 012 | Train Loss: 1.2803 | Val Loss: 1.2534 | Val Acc: 0.4359 | Val F1: 0.2921 | LR: 0.001000
Fold 0 | Epoch 013 | Train Loss: 1.2782 | Val Loss: 1.2552 | Val Acc: 0.4343 | Val F1: 0.2942 | LR: 0.001000
Fold 0 | Epoch 014 | Train Loss: 1.2815 | Val Loss: 1.2551 | Val Acc: 0.4583 | Val F1: 0.3988 | LR: 0.001000
Fold 0 | Epoch 015 | Train Loss: 1.2734 | Val Loss: 1.2800 | Val Acc: 0.4359 | Val F1: 0.2921 | LR: 0.001000
Fold 0 | Epoch 016 | Train Loss: 1.2768 | Val Loss: 1.2640 | Val Acc: 0.4359 | Val F1: 0.2921 | LR: 0.001000
Fold 0 | Epoch 017 | Train Loss: 1.2811 | Val Loss: 1.2611 | Val Acc: 0.4359 | Val F1: 0.2921 | LR: 0.001000
Fold 0 | Epoch 018 | Train Loss: 1.2592 | Val Loss: 1.2619 | Val Acc: 0.4359 | Val F1: 0.2921 | LR: 0.001000
Fold 0 | Epoch 019 | Train Loss: 1.2765 | Val Loss: 1.2680 | Val Acc: 0.4279 | Val F1: 0.4024 | LR: 0.000800
Fold 0 | Epoch 020 | Train Loss: 1.2545 | Val Loss: 1.2735 | Val Acc: 0.4359 | Val F1: 0.2921 | LR: 0.000800
Fold 0 | Epoch 021 | Train Loss: 1.2688 | Val Loss: 1.2576 | Val Acc: 0.4295 | Val F1: 0.3423 | LR: 0.000800
Fold 0 | Epoch 022 | Train Loss: 1.2592 | Val Loss: 1.2625 | Val Acc: 0.4359 | Val F1: 0.2921 | LR: 0.000800
Fold 0 | Epoch 023 | Train Loss: 1.2720 | Val Loss: 1.2576 | Val Acc: 0.4279 | Val F1: 0.4027 | LR: 0.000800
Fold 0 | Epoch 024 | Train Loss: 1.2800 | Val Loss: 1.2753 | Val Acc: 0.4359 | Val F1: 0.2921 | LR: 0.000800
Fold 0 | Epoch 025 | Train Loss: 1.2575 | Val Loss: 1.2739 | Val Acc: 0.4359 | Val F1: 0.2921 | LR: 0.000800
Fold 0 | Epoch 026 | Train Loss: 1.2660 | Val Loss: 1.2738 | Val Acc: 0.4295 | Val F1: 0.3979 | LR: 0.000800
Fold 0 | Epoch 027 | Train Loss: 1.2568 | Val Loss: 1.2539 | Val Acc: 0.4183 | Val F1: 0.3937 | LR: 0.000800
Fold 0 | Epoch 028 | Train Loss: 1.2543 | Val Loss: 1.2613 | Val Acc: 0.4407 | Val F1: 0.4140 | LR: 0.000800
Fold 0 | Epoch 029 | Train Loss: 1.2642 | Val Loss: 1.2629 | Val Acc: 0.4359 | Val F1: 0.2921 | LR: 0.000800
Fold 0 | Epoch 030 | Train Loss: 1.2531 | Val Loss: 1.2669 | Val Acc: 0.4151 | Val F1: 0.3871 | LR: 0.000800
Fold 0 | Epoch 031 | Train Loss: 1.2538 | Val Loss: 1.2736 | Val Acc: 0.4151 | Val F1: 0.3895 | LR: 0.000800
