Fold 0 | Epoch 000 | Train Loss: 1.5480 | Val Loss: 1.5040 | Val Acc: 0.3734 | Val F1: 0.2030 | LR: 0.001000
Fold 0 | Epoch 001 | Train Loss: 1.4673 | Val Loss: 1.4670 | Val Acc: 0.3782 | Val F1: 0.3221 | LR: 0.001000
Fold 0 | Epoch 002 | Train Loss: 1.4131 | Val Loss: 1.4077 | Val Acc: 0.4311 | Val F1: 0.3491 | LR: 0.001000
Fold 0 | Epoch 003 | Train Loss: 1.3983 | Val Loss: 1.3377 | Val Acc: 0.4359 | Val F1: 0.2921 | LR: 0.001000
Fold 0 | Epoch 004 | Train Loss: 1.3398 | Val Loss: 1.3352 | Val Acc: 0.4359 | Val F1: 0.2921 | LR: 0.001000
Fold 0 | Epoch 005 | Train Loss: 1.3168 | Val Loss: 1.3046 | Val Acc: 0.4503 | Val F1: 0.4231 | LR: 0.001000
Fold 0 | Epoch 006 | Train Loss: 1.3062 | Val Loss: 1.2669 | Val Acc: 0.4503 | Val F1: 0.4147 | LR: 0.001000
Fold 0 | Epoch 007 | Train Loss: 1.3078 | Val Loss: 1.2635 | Val Acc: 0.4359 | Val F1: 0.2921 | LR: 0.001000
Fold 0 | Epoch 008 | Train Loss: 1.2989 | Val Loss: 1.2698 | Val Acc: 0.4327 | Val F1: 0.2938 | LR: 0.001000
Fold 0 | Epoch 009 | Train Loss: 1.2968 | Val Loss: 1.2733 | Val Acc: 0.4455 | Val F1: 0.4170 | LR: 0.001000
Fold 0 | Epoch 010 | Train Loss: 1.2954 | Val Loss: 1.2648 | Val Acc: 0.4359 | Val F1: 0.2921 | LR: 0.001000
Fold 0 | Epoch 011 | Train Loss: 1.2981 | Val Loss: 1.2720 | Val Acc: 0.4359 | Val F1: 0.2921 | LR: 0.001000
Fold 0 | Epoch 012 | Train Loss: 1.2870 | Val Loss: 1.2756 | Val Acc: 0.4487 | Val F1: 0.4011 | LR: 0.001000
Fold 0 | Epoch 013 | Train Loss: 1.2871 | Val Loss: 1.2816 | Val Acc: 0.4359 | Val F1: 0.2921 | LR: 0.001000
Fold 0 | Epoch 014 | Train Loss: 1.2917 | Val Loss: 1.2772 | Val Acc: 0.4407 | Val F1: 0.3030 | LR: 0.001000
Fold 0 | Epoch 015 | Train Loss: 1.2941 | Val Loss: 1.2590 | Val Acc: 0.4375 | Val F1: 0.3181 | LR: 0.001000
Fold 0 | Epoch 016 | Train Loss: 1.2876 | Val Loss: 1.2657 | Val Acc: 0.4423 | Val F1: 0.4158 | LR: 0.001000
Fold 0 | Epoch 017 | Train Loss: 1.2746 | Val Loss: 1.2759 | Val Acc: 0.4359 | Val F1: 0.2921 | LR: 0.001000
Fold 0 | Epoch 018 | Train Loss: 1.2846 | Val Loss: 1.2604 | Val Acc: 0.4279 | Val F1: 0.3978 | LR: 0.001000
Fold 0 | Epoch 019 | Train Loss: 1.2854 | Val Loss: 1.2829 | Val Acc: 0.4359 | Val F1: 0.2921 | LR: 0.000800
Fold 0 | Epoch 020 | Train Loss: 1.2712 | Val Loss: 1.2714 | Val Acc: 0.4327 | Val F1: 0.3508 | LR: 0.000800
Fold 0 | Epoch 021 | Train Loss: 1.2668 | Val Loss: 1.2558 | Val Acc: 0.4359 | Val F1: 0.2921 | LR: 0.000800
Fold 0 | Epoch 022 | Train Loss: 1.2634 | Val Loss: 1.2740 | Val Acc: 0.4359 | Val F1: 0.2921 | LR: 0.000800
Fold 0 | Epoch 023 | Train Loss: 1.2791 | Val Loss: 1.2578 | Val Acc: 0.4359 | Val F1: 0.2921 | LR: 0.000800
Fold 0 | Epoch 024 | Train Loss: 1.2683 | Val Loss: 1.2724 | Val Acc: 0.4343 | Val F1: 0.2908 | LR: 0.000800
Fold 0 | Epoch 025 | Train Loss: 1.2821 | Val Loss: 1.2573 | Val Acc: 0.4375 | Val F1: 0.3013 | LR: 0.000800
