Fold 1 | Epoch 000 | Train Loss: 1.5283 | Val Loss: 1.5127 | Val Acc: 0.3344 | Val F1: 0.1676 | LR: 0.001000
Fold 1 | Epoch 001 | Train Loss: 1.4454 | Val Loss: 1.4654 | Val Acc: 0.3714 | Val F1: 0.2292 | LR: 0.001000
Fold 1 | Epoch 002 | Train Loss: 1.3921 | Val Loss: 1.4073 | Val Acc: 0.3746 | Val F1: 0.3211 | LR: 0.001000
Fold 1 | Epoch 003 | Train Loss: 1.3506 | Val Loss: 1.3877 | Val Acc: 0.4212 | Val F1: 0.3920 | LR: 0.001000
Fold 1 | Epoch 004 | Train Loss: 1.3261 | Val Loss: 1.3567 | Val Acc: 0.4164 | Val F1: 0.3851 | LR: 0.001000
Fold 1 | Epoch 005 | Train Loss: 1.3446 | Val Loss: 1.3804 | Val Acc: 0.4164 | Val F1: 0.3520 | LR: 0.001000
Fold 1 | Epoch 006 | Train Loss: 1.3255 | Val Loss: 1.3701 | Val Acc: 0.4437 | Val F1: 0.3417 | LR: 0.001000
Fold 1 | Epoch 007 | Train Loss: 1.3218 | Val Loss: 1.3531 | Val Acc: 0.4212 | Val F1: 0.3887 | LR: 0.001000
Fold 1 | Epoch 008 | Train Loss: 1.3101 | Val Loss: 1.3365 | Val Acc: 0.4373 | Val F1: 0.3947 | LR: 0.001000
Fold 1 | Epoch 009 | Train Loss: 1.3169 | Val Loss: 1.3408 | Val Acc: 0.4486 | Val F1: 0.4131 | LR: 0.001000
Fold 1 | Epoch 010 | Train Loss: 1.3128 | Val Loss: 1.3356 | Val Acc: 0.3939 | Val F1: 0.2554 | LR: 0.001000
Fold 1 | Epoch 011 | Train Loss: 1.3061 | Val Loss: 1.3371 | Val Acc: 0.4421 | Val F1: 0.3840 | LR: 0.001000
Fold 1 | Epoch 012 | Train Loss: 1.3082 | Val Loss: 1.3259 | Val Acc: 0.4469 | Val F1: 0.4084 | LR: 0.001000
Fold 1 | Epoch 013 | Train Loss: 1.3028 | Val Loss: 1.3652 | Val Acc: 0.4550 | Val F1: 0.4193 | LR: 0.001000
Fold 1 | Epoch 014 | Train Loss: 1.3030 | Val Loss: 1.3225 | Val Acc: 0.4534 | Val F1: 0.4194 | LR: 0.001000
Fold 1 | Epoch 015 | Train Loss: 1.3106 | Val Loss: 1.3463 | Val Acc: 0.4373 | Val F1: 0.3980 | LR: 0.001000
Fold 1 | Epoch 016 | Train Loss: 1.3089 | Val Loss: 1.3216 | Val Acc: 0.4518 | Val F1: 0.3604 | LR: 0.001000
Fold 1 | Epoch 017 | Train Loss: 1.3037 | Val Loss: 1.3712 | Val Acc: 0.4003 | Val F1: 0.3018 | LR: 0.001000
Fold 1 | Epoch 018 | Train Loss: 1.3034 | Val Loss: 1.3433 | Val Acc: 0.4309 | Val F1: 0.3820 | LR: 0.001000
Fold 1 | Epoch 019 | Train Loss: 1.2942 | Val Loss: 1.3347 | Val Acc: 0.4598 | Val F1: 0.4231 | LR: 0.000800
Fold 1 | Epoch 020 | Train Loss: 1.2998 | Val Loss: 1.3129 | Val Acc: 0.4582 | Val F1: 0.4208 | LR: 0.000800
Fold 1 | Epoch 021 | Train Loss: 1.2983 | Val Loss: 1.3223 | Val Acc: 0.4646 | Val F1: 0.4284 | LR: 0.000800
Fold 1 | Epoch 022 | Train Loss: 1.2925 | Val Loss: 1.3318 | Val Acc: 0.4518 | Val F1: 0.4155 | LR: 0.000800
Fold 1 | Epoch 023 | Train Loss: 1.2999 | Val Loss: 1.3254 | Val Acc: 0.4003 | Val F1: 0.3018 | LR: 0.000800
Fold 1 | Epoch 024 | Train Loss: 1.2857 | Val Loss: 1.3278 | Val Acc: 0.4614 | Val F1: 0.4208 | LR: 0.000800
Fold 1 | Epoch 025 | Train Loss: 1.2901 | Val Loss: 1.3244 | Val Acc: 0.4598 | Val F1: 0.4252 | LR: 0.000800
Fold 1 | Epoch 026 | Train Loss: 1.2889 | Val Loss: 1.3212 | Val Acc: 0.4453 | Val F1: 0.4127 | LR: 0.000800
Fold 1 | Epoch 027 | Train Loss: 1.2930 | Val Loss: 1.3189 | Val Acc: 0.4646 | Val F1: 0.4229 | LR: 0.000800
