Fold 2 | Epoch 000 | Train Loss: 1.6069 | Val Loss: 1.4535 | Val Acc: 0.3628 | Val F1: 0.1931 | LR: 0.001000
Fold 2 | Epoch 001 | Train Loss: 1.5088 | Val Loss: 1.4657 | Val Acc: 0.3900 | Val F1: 0.2316 | LR: 0.001000
Fold 2 | Epoch 002 | Train Loss: 1.4874 | Val Loss: 1.4263 | Val Acc: 0.3933 | Val F1: 0.2220 | LR: 0.001000
Fold 2 | Epoch 003 | Train Loss: 1.4713 | Val Loss: 1.4084 | Val Acc: 0.3933 | Val F1: 0.2220 | LR: 0.001000
Fold 2 | Epoch 004 | Train Loss: 1.4648 | Val Loss: 1.3901 | Val Acc: 0.4254 | Val F1: 0.2756 | LR: 0.001000
Fold 2 | Epoch 005 | Train Loss: 1.3948 | Val Loss: 1.3478 | Val Acc: 0.4318 | Val F1: 0.2834 | LR: 0.001000
Fold 2 | Epoch 006 | Train Loss: 1.3702 | Val Loss: 1.3392 | Val Acc: 0.4318 | Val F1: 0.2834 | LR: 0.001000
Fold 2 | Epoch 007 | Train Loss: 1.3493 | Val Loss: 1.3350 | Val Acc: 0.4398 | Val F1: 0.3888 | LR: 0.001000
Fold 2 | Epoch 008 | Train Loss: 1.3469 | Val Loss: 1.3647 | Val Acc: 0.4318 | Val F1: 0.2834 | LR: 0.001000
Fold 2 | Epoch 009 | Train Loss: 1.3485 | Val Loss: 1.3475 | Val Acc: 0.4286 | Val F1: 0.2809 | LR: 0.001000
Fold 2 | Epoch 010 | Train Loss: 1.3452 | Val Loss: 1.3331 | Val Acc: 0.4318 | Val F1: 0.2834 | LR: 0.001000
Fold 2 | Epoch 011 | Train Loss: 1.3308 | Val Loss: 1.3265 | Val Acc: 0.4318 | Val F1: 0.3500 | LR: 0.001000
Fold 2 | Epoch 012 | Train Loss: 1.3220 | Val Loss: 1.3395 | Val Acc: 0.4270 | Val F1: 0.3838 | LR: 0.001000
Fold 2 | Epoch 013 | Train Loss: 1.3135 | Val Loss: 1.3312 | Val Acc: 0.4205 | Val F1: 0.3867 | LR: 0.001000
Fold 2 | Epoch 014 | Train Loss: 1.3212 | Val Loss: 1.3467 | Val Acc: 0.4254 | Val F1: 0.3950 | LR: 0.001000
Fold 2 | Epoch 015 | Train Loss: 1.3269 | Val Loss: 1.3250 | Val Acc: 0.4205 | Val F1: 0.3903 | LR: 0.001000
Fold 2 | Epoch 016 | Train Loss: 1.3151 | Val Loss: 1.3758 | Val Acc: 0.4270 | Val F1: 0.4004 | LR: 0.001000
Fold 2 | Epoch 017 | Train Loss: 1.3180 | Val Loss: 1.3318 | Val Acc: 0.4302 | Val F1: 0.3994 | LR: 0.001000
Fold 2 | Epoch 018 | Train Loss: 1.3132 | Val Loss: 1.3264 | Val Acc: 0.4302 | Val F1: 0.3686 | LR: 0.001000
Fold 2 | Epoch 019 | Train Loss: 1.3260 | Val Loss: 1.3353 | Val Acc: 0.4302 | Val F1: 0.3971 | LR: 0.000800
Fold 2 | Epoch 020 | Train Loss: 1.2992 | Val Loss: 1.3186 | Val Acc: 0.4302 | Val F1: 0.3560 | LR: 0.000800
Fold 2 | Epoch 021 | Train Loss: 1.2999 | Val Loss: 1.3324 | Val Acc: 0.4318 | Val F1: 0.3665 | LR: 0.000800
Fold 2 | Epoch 022 | Train Loss: 1.3012 | Val Loss: 1.3283 | Val Acc: 0.4334 | Val F1: 0.3979 | LR: 0.000800
Fold 2 | Epoch 023 | Train Loss: 1.3218 | Val Loss: 1.3256 | Val Acc: 0.4350 | Val F1: 0.3196 | LR: 0.000800
Fold 2 | Epoch 024 | Train Loss: 1.3053 | Val Loss: 1.3423 | Val Acc: 0.4350 | Val F1: 0.3853 | LR: 0.000800
Fold 2 | Epoch 025 | Train Loss: 1.3096 | Val Loss: 1.3292 | Val Acc: 0.4334 | Val F1: 0.3756 | LR: 0.000800
Fold 2 | Epoch 026 | Train Loss: 1.3130 | Val Loss: 1.3339 | Val Acc: 0.4318 | Val F1: 0.3265 | LR: 0.000800
Fold 2 | Epoch 027 | Train Loss: 1.3009 | Val Loss: 1.3359 | Val Acc: 0.4398 | Val F1: 0.3885 | LR: 0.000800
