Fold 0 | Epoch 000 | Train Loss: 1.5346 | Val Loss: 1.5062 | Val Acc: 0.3702 | Val F1: 0.2000 | LR: 0.001000
Fold 0 | Epoch 001 | Train Loss: 1.4375 | Val Loss: 1.4175 | Val Acc: 0.3974 | Val F1: 0.3353 | LR: 0.001000
Fold 0 | Epoch 002 | Train Loss: 1.4333 | Val Loss: 1.4557 | Val Acc: 0.4327 | Val F1: 0.2890 | LR: 0.001000
Fold 0 | Epoch 003 | Train Loss: 1.4034 | Val Loss: 1.3338 | Val Acc: 0.4311 | Val F1: 0.2882 | LR: 0.001000
Fold 0 | Epoch 004 | Train Loss: 1.3609 | Val Loss: 1.2947 | Val Acc: 0.4327 | Val F1: 0.3922 | LR: 0.001000
Fold 0 | Epoch 005 | Train Loss: 1.3484 | Val Loss: 1.3074 | Val Acc: 0.4359 | Val F1: 0.2921 | LR: 0.001000
Fold 0 | Epoch 006 | Train Loss: 1.3257 | Val Loss: 1.2738 | Val Acc: 0.4439 | Val F1: 0.4170 | LR: 0.001000
Fold 0 | Epoch 007 | Train Loss: 1.3208 | Val Loss: 1.2826 | Val Acc: 0.4359 | Val F1: 0.2921 | LR: 0.001000
Fold 0 | Epoch 008 | Train Loss: 1.3104 | Val Loss: 1.2836 | Val Acc: 0.4359 | Val F1: 0.2921 | LR: 0.001000
Fold 0 | Epoch 009 | Train Loss: 1.2962 | Val Loss: 1.2732 | Val Acc: 0.4391 | Val F1: 0.4130 | LR: 0.001000
Fold 0 | Epoch 010 | Train Loss: 1.2978 | Val Loss: 1.2661 | Val Acc: 0.4359 | Val F1: 0.2921 | LR: 0.001000
Fold 0 | Epoch 011 | Train Loss: 1.2809 | Val Loss: 1.2619 | Val Acc: 0.4423 | Val F1: 0.4113 | LR: 0.001000
Fold 0 | Epoch 012 | Train Loss: 1.2881 | Val Loss: 1.2773 | Val Acc: 0.4343 | Val F1: 0.4040 | LR: 0.001000
Fold 0 | Epoch 013 | Train Loss: 1.2858 | Val Loss: 1.2802 | Val Acc: 0.4455 | Val F1: 0.3747 | LR: 0.001000
Fold 0 | Epoch 014 | Train Loss: 1.2564 | Val Loss: 1.2824 | Val Acc: 0.4423 | Val F1: 0.3739 | LR: 0.001000
Fold 0 | Epoch 015 | Train Loss: 1.2570 | Val Loss: 1.2758 | Val Acc: 0.4327 | Val F1: 0.3841 | LR: 0.001000
Fold 0 | Epoch 016 | Train Loss: 1.2769 | Val Loss: 1.2810 | Val Acc: 0.4263 | Val F1: 0.3913 | LR: 0.001000
Fold 0 | Epoch 017 | Train Loss: 1.2590 | Val Loss: 1.2640 | Val Acc: 0.4279 | Val F1: 0.3929 | LR: 0.001000
Fold 0 | Epoch 018 | Train Loss: 1.2694 | Val Loss: 1.2729 | Val Acc: 0.4343 | Val F1: 0.4058 | LR: 0.001000
Fold 0 | Epoch 019 | Train Loss: 1.2615 | Val Loss: 1.2812 | Val Acc: 0.4343 | Val F1: 0.3900 | LR: 0.000800
Fold 0 | Epoch 020 | Train Loss: 1.2426 | Val Loss: 1.2708 | Val Acc: 0.4263 | Val F1: 0.4002 | LR: 0.000800
Fold 0 | Epoch 021 | Train Loss: 1.2446 | Val Loss: 1.2832 | Val Acc: 0.4327 | Val F1: 0.3889 | LR: 0.000800
Fold 0 | Epoch 022 | Train Loss: 1.2532 | Val Loss: 1.2686 | Val Acc: 0.4327 | Val F1: 0.4027 | LR: 0.000800
Fold 0 | Epoch 023 | Train Loss: 1.2598 | Val Loss: 1.2736 | Val Acc: 0.4359 | Val F1: 0.4100 | LR: 0.000800
Fold 0 | Epoch 024 | Train Loss: 1.2598 | Val Loss: 1.2732 | Val Acc: 0.4311 | Val F1: 0.3992 | LR: 0.000800
Fold 0 | Epoch 025 | Train Loss: 1.2509 | Val Loss: 1.2691 | Val Acc: 0.4359 | Val F1: 0.3746 | LR: 0.000800
Fold 0 | Epoch 026 | Train Loss: 1.2415 | Val Loss: 1.2834 | Val Acc: 0.4311 | Val F1: 0.3830 | LR: 0.000800
Fold 0 | Epoch 027 | Train Loss: 1.2752 | Val Loss: 1.2760 | Val Acc: 0.4407 | Val F1: 0.3088 | LR: 0.000800
Fold 0 | Epoch 028 | Train Loss: 1.2587 | Val Loss: 1.2830 | Val Acc: 0.4247 | Val F1: 0.3901 | LR: 0.000800
Fold 0 | Epoch 029 | Train Loss: 1.2647 | Val Loss: 1.2855 | Val Acc: 0.4151 | Val F1: 0.3737 | LR: 0.000800
Fold 0 | Epoch 030 | Train Loss: 1.2565 | Val Loss: 1.2751 | Val Acc: 0.4327 | Val F1: 0.4024 | LR: 0.000800
Fold 0 | Epoch 031 | Train Loss: 1.2521 | Val Loss: 1.2806 | Val Acc: 0.4359 | Val F1: 0.4100 | LR: 0.000800
Fold 0 | Epoch 032 | Train Loss: 1.2525 | Val Loss: 1.2725 | Val Acc: 0.4231 | Val F1: 0.3969 | LR: 0.000800
Fold 0 | Epoch 033 | Train Loss: 1.2438 | Val Loss: 1.2831 | Val Acc: 0.4311 | Val F1: 0.3753 | LR: 0.000800
