filename;num_nodes;num_edges;node_degrees;average_shortest_path_length;density;num_nodes_subcircuit;num_nodes_pin;num_nodes_net;num_nodes_component;num_components_R;num_components_C;num_components_V;num_components_M;num_components_D;num_components_Q;num_components_I;num_components_L
LT1072HV_star.gpickle;40;46;{'I1': 2, 'I1.pos': 2, 'OUT': 4, 'I1.neg': 2, '0': 6, 'L1': 2, 'L1.1': 2, 'IN': 3, 'L1.2': 2, 'N001': 3, 'D1': 2, 'D1.anode': 2, 'D1.cathode': 2, 'R1': 2, 'R1.1': 2, 'R1.2': 2, 'N002': 3, 'R2': 2, 'R2.1': 2, 'R2.2': 2, 'R3': 2, 'R3.1': 2, 'N003': 2, 'R3.2': 2, 'N004': 2, 'C1': 2, 'C1.1': 2, 'C1.2': 2, 'C2': 2, 'C2.1': 2, 'C2.2': 2, 'V1': 2, 'V1.pos': 2, 'V1.neg': 2, 'XU1': 5, 'XU1.p1': 2, 'XU1.p2': 2, 'XU1.p3': 2, 'XU1.p4': 2, 'XU1.p5': 2};5;0.05897435897435897;1;23;7;9;3.0;2.0;1.0;;1.0;;1.0;1.0
LT1074_TA01_star.gpickle;47;54;{'R1': 2, 'R1.1': 2, 'N003': 2, 'R1.2': 2, 'N004': 2, 'R2': 2, 'R2.1': 2, 'N002': 3, 'R2.2': 2, '0': 8, 'R3': 2, 'R3.1': 2, 'OUT': 4, 'R3.2': 2, 'L1': 2, 'L1.1': 2, 'N001': 3, 'L1.2': 2, 'D1': 2, 'D1.anode': 2, 'D1.cathode': 2, 'C1': 2, 'C1.1': 2, 'IN': 3, 'C1.2': 2, 'C2': 2, 'C2.1': 2, 'C2.2': 2, 'V1': 2, 'V1.pos': 2, 'V1.neg': 2, 'C3': 2, 'C3.1': 2, 'C3.2': 2, 'XU1': 7, 'XU1.p1': 2, 'XU1.p2': 2, 'XU1.p3': 2, 'NC_01': 1, 'XU1.p4': 2, 'XU1.p5': 2, 'XU1.p6': 2, 'XU1.p7': 2, 'NC_02': 1, 'Rload': 2, 'Rload.1': 2, 'Rload.2': 2};5;0.04995374653098982;1;27;9;10;4.0;3.0;1.0;;1.0;;;1.0
LT1076HV_star.gpickle;44;50;{'L2': 2, 'L2.1': 2, 'N001': 3, 'L2.2': 2, 'OUT': 4, 'D1': 2, 'D1.anode': 2, '0': 7, 'D1.cathode': 2, 'V2': 2, 'V2.pos': 2, 'IN': 2, 'V2.neg': 2, 'R4': 2, 'R4.1': 2, 'R4.2': 2, 'N002': 3, 'R5': 2, 'R5.1': 2, 'R5.2': 2, 'C12': 2, 'C12.1': 2, 'N004': 2, 'C12.2': 2, 'N003': 2, 'C13': 2, 'C13.1': 2, 'C13.2': 2, 'R1': 2, 'R1.1': 2, 'R1.2': 2, 'XU1': 7, 'XU1.p1': 2, 'XU1.p2': 2, 'XU1.p3': 2, 'NC_01': 1, 'XU1.p4': 2, 'XU1.p5': 2, 'XU1.p6': 2, 'XU1.p7': 2, 'NC_02': 1, 'I1': 2, 'I1.pos': 2, 'I1.neg': 2};5;0.052854122621564484;1;25;9;9;3.0;2.0;1.0;;1.0;;1.0;1.0
LT1076_TA01_star.gpickle;47;54;{'R3': 2, 'R3.1': 2, 'N003': 2, 'R3.2': 2, 'N004': 2, 'R2': 2, 'R2.1': 2, 'N002': 3, 'R2.2': 2, '0': 8, 'R1': 2, 'R1.1': 2, 'OUT': 4, 'R1.2': 2, 'L1': 2, 'L1.1': 2, 'N001': 3, 'L1.2': 2, 'D1': 2, 'D1.anode': 2, 'D1.cathode': 2, 'C1': 2, 'C1.1': 2, 'IN': 3, 'C1.2': 2, 'C2': 2, 'C2.1': 2, 'C2.2': 2, 'V1': 2, 'V1.pos': 2, 'V1.neg': 2, 'C3': 2, 'C3.1': 2, 'C3.2': 2, 'Rload': 2, 'Rload.1': 2, 'Rload.2': 2, 'XU2': 7, 'XU2.p1': 2, 'XU2.p2': 2, 'XU2.p3': 2, 'NC_01': 1, 'XU2.p4': 2, 'XU2.p5': 2, 'XU2.p6': 2, 'XU2.p7': 2, 'NC_02': 1};5;0.04995374653098982;1;27;9;10;4.0;3.0;1.0;;1.0;;;1.0
LT1078_TA08_star.gpickle;34;40;{'V1': 2, 'V1.pos': 2, '+V': 3, 'V1.neg': 2, '0': 5, 'R1': 2, 'R1.1': 2, 'N002': 3, 'R1.2': 2, 'N001': 3, 'R2': 2, 'R2.1': 2, 'R2.2': 2, 'IN': 2, 'V3': 2, 'V3.pos': 2, 'V3.neg': 2, 'XU1': 5, 'XU1.p1': 2, 'XU1.p2': 2, 'XU1.p3': 2, 'XU1.p4': 2, 'XU1.p5': 2, 'N003': 2, 'D1': 2, 'D1.anode': 2, 'D1.cathode': 2, 'XU2': 5, 'XU2.p1': 2, 'XU2.p2': 2, 'OUT': 2, 'XU2.p3': 2, 'XU2.p4': 2, 'XU2.p5': 2};5;0.07130124777183601;2;20;7;5;2.0;;2.0;;1.0;;;
LT1083-5_TA01_star.gpickle;19;22;{'V1': 2, 'V1.pos': 2, 'IN': 3, 'V1.neg': 2, '0': 5, 'Rload': 2, 'Rload.1': 2, 'OUT': 3, 'Rload.2': 2, 'C1': 2, 'C1.1': 2, 'C1.2': 2, 'XU1': 3, 'XU1.p1': 2, 'XU1.p2': 2, 'XU1.p3': 2, 'C2': 2, 'C2.1': 2, 'C2.2': 2};4;0.1286549707602339;1;11;3;4;1.0;2.0;1.0;;;;;
LT1083_TA01_star.gpickle;26;30;{'R1': 2, 'R1.1': 2, 'OUT': 4, 'R1.2': 2, 'N001': 3, 'R2': 2, 'R2.1': 2, 'R2.2': 2, '0': 5, 'V1': 2, 'V1.pos': 2, 'IN': 3, 'V1.neg': 2, 'XU1': 3, 'XU1.p1': 2, 'XU1.p2': 2, 'XU1.p3': 2, 'Rload': 2, 'Rload.1': 2, 'Rload.2': 2, 'C1': 2, 'C1.1': 2, 'C1.2': 2, 'C2': 2, 'C2.1': 2, 'C2.2': 2};4;0.09230769230769231;1;15;4;6;3.0;2.0;1.0;;;;;
LT1083_TA04_star.gpickle;32;38;{'R1': 2, 'R1.1': 2, 'OUT': 5, 'R1.2': 2, 'N001': 4, 'R2': 2, 'R2.1': 2, 'R2.2': 2, '0': 6, 'C1': 2, 'C1.1': 2, 'C1.2': 2, 'C2': 2, 'C2.1': 2, 'IN': 4, 'C2.2': 2, 'V1': 2, 'V1.pos': 2, 'V1.neg': 2, 'Rload': 2, 'Rload.1': 2, 'Rload.2': 2, 'C3': 2, 'C3.1': 2, 'C3.2': 2, 'D1': 2, 'D1.anode': 2, 'D1.cathode': 2, 'XU1': 3, 'XU1.p1': 2, 'XU1.p2': 2, 'XU1.p3': 2};4;0.07661290322580645;1;19;4;8;3.0;3.0;1.0;;1.0;;;
LT1084-5_TA01_star.gpickle;19;22;{'V1': 2, 'V1.pos': 2, 'IN': 3, 'V1.neg': 2, '0': 5, 'Rload': 2, 'Rload.1': 2, 'OUT': 3, 'Rload.2': 2, 'C1': 2, 'C1.1': 2, 'C1.2': 2, 'C2': 2, 'C2.1': 2, 'C2.2': 2, 'XU1': 3, 'XU1.p1': 2, 'XU1.p2': 2, 'XU1.p3': 2};4;0.1286549707602339;1;11;3;4;1.0;2.0;1.0;;;;;
LT1084_TA01_star.gpickle;26;30;{'R1': 2, 'R1.1': 2, 'OUT': 4, 'R1.2': 2, 'N001': 3, 'R2': 2, 'R2.1': 2, 'R2.2': 2, '0': 5, 'V1': 2, 'V1.pos': 2, 'IN': 3, 'V1.neg': 2, 'Rload': 2, 'Rload.1': 2, 'Rload.2': 2, 'C1': 2, 'C1.1': 2, 'C1.2': 2, 'C2': 2, 'C2.1': 2, 'C2.2': 2, 'XU1': 3, 'XU1.p1': 2, 'XU1.p2': 2, 'XU1.p3': 2};4;0.09230769230769231;1;15;4;6;3.0;2.0;1.0;;;;;
LT1085-5_TA01_star.gpickle;19;22;{'V1': 2, 'V1.pos': 2, 'IN': 3, 'V1.neg': 2, '0': 5, 'Rload': 2, 'Rload.1': 2, 'OUT': 3, 'Rload.2': 2, 'C1': 2, 'C1.1': 2, 'C1.2': 2, 'C2': 2, 'C2.1': 2, 'C2.2': 2, 'XU1': 3, 'XU1.p1': 2, 'XU1.p2': 2, 'XU1.p3': 2};4;0.1286549707602339;1;11;3;4;1.0;2.0;1.0;;;;;
LT1085_TA01_star.gpickle;26;30;{'R1': 2, 'R1.1': 2, 'OUT': 4, 'R1.2': 2, 'N001': 3, 'R2': 2, 'R2.1': 2, 'R2.2': 2, '0': 5, 'V1': 2, 'V1.pos': 2, 'IN': 3, 'V1.neg': 2, 'Rload': 2, 'Rload.1': 2, 'Rload.2': 2, 'C1': 2, 'C1.1': 2, 'C1.2': 2, 'C2': 2, 'C2.1': 2, 'C2.2': 2, 'XU1': 3, 'XU1.p1': 2, 'XU1.p2': 2, 'XU1.p3': 2};4;0.09230769230769231;1;15;4;6;3.0;2.0;1.0;;;;;
LT1086_TA14_star.gpickle;29;34;{'R1': 2, 'R1.1': 2, 'OUT': 4, 'R1.2': 2, 'N001': 4, 'R2': 2, 'R2.1': 2, 'R2.2': 2, '0': 6, 'V1': 2, 'V1.pos': 2, 'IN': 3, 'V1.neg': 2, 'C1': 2, 'C1.1': 2, 'C1.2': 2, 'XU1': 3, 'XU1.p1': 2, 'XU1.p2': 2, 'XU1.p3': 2, 'C2': 2, 'C2.1': 2, 'C2.2': 2, 'C3': 2, 'C3.1': 2, 'C3.2': 2, 'Rload': 2, 'Rload.1': 2, 'Rload.2': 2};4;0.08374384236453201;1;17;4;7;3.0;3.0;1.0;;;;;
LT1111_star.gpickle;33;40;{'L1': 2, 'L1.1': 2, 'IN': 5, 'L1.2': 2, 'N001': 3, 'D1': 2, 'D1.anode': 2, 'D1.cathode': 2, 'OUT': 4, 'Iload': 2, 'Iload.pos': 2, 'Iload.neg': 2, '0': 6, 'V1': 2, 'V1.pos': 2, 'V1.neg': 2, 'XU1': 8, 'XU1.p1': 2, 'XU1.p2': 2, 'XU1.p3': 2, 'XU1.p4': 2, 'XU1.p5': 2, 'XU1.p6': 2, 'N002': 1, 'XU1.p7': 2, 'N003': 1, 'XU1.p8': 2, 'C2': 2, 'C2.1': 2, 'C2.2': 2, 'C1': 2, 'C1.1': 2, 'C1.2': 2};4;0.07575757575757576;1;20;6;6;;2.0;1.0;;1.0;;1.0;1.0
LT1113_TA01_star.gpickle;62;72;{'R1': 2, 'R1.1': 2, 'OUT': 3, 'R1.2': 2, 'N001': 4, 'R2': 2, 'R2.1': 2, 'N002': 3, 'R2.2': 2, 'R3': 2, 'R3.1': 2, 'R3.2': 2, '0': 6, 'R4': 2, 'R4.1': 2, 'IN': 3, 'R4.2': 2, 'N005': 3, 'R5': 2, 'R5.1': 2, 'R5.2': 2, 'R6': 2, 'R6.1': 2, 'N003': 3, 'R6.2': 2, 'R7': 2, 'R7.1': 2, 'R7.2': 2, 'N004': 3, 'R8': 2, 'R8.1': 2, 'N006': 2, 'R8.2': 2, 'C1': 2, 'C1.1': 2, 'C1.2': 2, 'V1': 2, 'V1.pos': 2, 'V1.neg': 2, 'V2': 2, 'V2.pos': 2, '+V': 3, 'V2.neg': 2, 'V3': 2, 'V3.pos': 2, '-V': 3, 'V3.neg': 2, 'C2': 2, 'C2.1': 2, 'C2.2': 2, 'XU1': 5, 'XU1.p1': 2, 'XU1.p2': 2, 'XU1.p3': 2, 'XU1.p4': 2, 'XU1.p5': 2, 'XU2': 5, 'XU2.p1': 2, 'XU2.p2': 2, 'XU2.p3': 2, 'XU2.p4': 2, 'XU2.p5': 2};6;0.03807509254362771;2;36;11;13;8.0;2.0;3.0;;;;;
LT1116_AI01_star.gpickle;26;32;{'V1': 2, 'V1.pos': 2, 'IN': 4, 'V1.neg': 2, '0': 8, 'D1': 2, 'D1.anode': 2, 'D1.cathode': 2, 'R1': 2, 'R1.1': 2, 'R1.2': 2, 'V2': 2, 'V2.pos': 2, 'N002': 2, 'V2.neg': 2, 'XU1': 8, 'XU1.p1': 2, 'XU1.p2': 2, 'XU1.p3': 2, 'XU1.p4': 2, 'XU1.p5': 2, 'XU1.p6': 2, 'XU1.p7': 2, 'Q': 1, 'XU1.p8': 2, 'N001': 1};4;0.09846153846153846;1;16;5;4;1.0;;2.0;;1.0;;;
